sunlight,tempreture,precipitation
3178,5.2,0
3155,6.6,1.4
5566,9.8,0.7
6421,8.7,0.2
5447,7.9,5.4
5577,7.3,0
10292,10.1,0.1
6704,12.1,6.3
6742,13.6,16.1
6561,18.8,4.6
9786,19.4,20.4
14485,21.1,24.9
9119,20.7,2.4
10979,22,10.6
11316,21.4,44.5
13439,25.4,5.2
19424,23.4,39.7
14089,24.6,45.4
11897,25.9,135.6
12655,26.4,19.9
12318,28.5,98.1
15921,24.9,47
16491,22.7,25.1
16036,21.2,155.6
5077,23.5,75.5
11709,22.1,54.8
6222,20.8,27.8
5570,17.5,31.7
7826,15.9,3.6
4575,14.3,5.2
5338,17.1,0.7
3577,13.5,9.4
3642,10,6.6
5797,5.6,0
4578,6.6,0
2768,6.6,0.8
